"AMG900"	"Aloxistatin"	"Berberine"	"CA-074.Me"	"Calcitriol"	"Clardribine"	"Cytochalasin.D"	"Dexamethasone"	"Etoposide"	"FCCP"	"Fenbendazole"	"LY2109701"	"LatrunculinB"	"Mebendazole"	"Nicolsamide"	"Nicotinamide"	"Rotenone"	"Staurosporine"	"TC-S7004"	"Tetrandine"	"AMG900:Aloxistatin"	"AMG900:Berberine"	"AMG900:CA-074.Me"	"AMG900:Calcitriol"	"AMG900:Clardribine"	"AMG900:Cytochalasin.D"	"AMG900:Dexamethasone"	"AMG900:Etoposide"	"AMG900:FCCP"	"AMG900:Fenbendazole"	"AMG900:LY2109701"	"AMG900:LatrunculinB"	"AMG900:Mebendazole"	"AMG900:Nicolsamide"	"AMG900:Nicotinamide"	"AMG900:Rotenone"	"AMG900:Staurosporine"	"AMG900:TC-S7004"	"AMG900:Tetrandine"	"Aloxistatin:Berberine"	"Aloxistatin:CA-074.Me"	"Aloxistatin:Calcitriol"	"Aloxistatin:Clardribine"	"Aloxistatin:Cytochalasin.D"	"Aloxistatin:Dexamethasone"	"Aloxistatin:Etoposide"	"Aloxistatin:FCCP"	"Aloxistatin:Fenbendazole"	"Aloxistatin:LY2109701"	"Aloxistatin:LatrunculinB"	"Aloxistatin:Mebendazole"	"Aloxistatin:Nicolsamide"	"Aloxistatin:Nicotinamide"	"Aloxistatin:Rotenone"	"Aloxistatin:Staurosporine"	"Aloxistatin:TC-S7004"	"Aloxistatin:Tetrandine"	"Berberine:CA-074.Me"	"Berberine:Calcitriol"	"Berberine:Clardribine"	"Berberine:Cytochalasin.D"	"Berberine:Dexamethasone"	"Berberine:Etoposide"	"Berberine:FCCP"	"Berberine:Fenbendazole"	"Berberine:LY2109701"	"Berberine:LatrunculinB"	"Berberine:Mebendazole"	"Berberine:Nicolsamide"	"Berberine:Nicotinamide"	"Berberine:Rotenone"	"Berberine:Staurosporine"	"Berberine:TC-S7004"	"Berberine:Tetrandine"	"CA-074.Me:Calcitriol"	"CA-074.Me:Clardribine"	"CA-074.Me:Cytochalasin.D"	"CA-074.Me:Dexamethasone"	"CA-074.Me:Etoposide"	"CA-074.Me:FCCP"	"CA-074.Me:Fenbendazole"	"CA-074.Me:LY2109701"	"CA-074.Me:LatrunculinB"	"CA-074.Me:Mebendazole"	"CA-074.Me:Nicolsamide"	"CA-074.Me:Nicotinamide"	"CA-074.Me:Rotenone"	"CA-074.Me:Staurosporine"	"CA-074.Me:TC-S7004"	"CA-074.Me:Tetrandine"	"Calcitriol:Clardribine"	"Calcitriol:Cytochalasin.D"	"Calcitriol:Dexamethasone"	"Calcitriol:Etoposide"	"Calcitriol:FCCP"	"Calcitriol:Fenbendazole"	"Calcitriol:LY2109701"	"Calcitriol:LatrunculinB"	"Calcitriol:Mebendazole"	"Calcitriol:Nicolsamide"	"Calcitriol:Nicotinamide"	"Calcitriol:Rotenone"	"Calcitriol:Staurosporine"	"Calcitriol:TC-S7004"	"Calcitriol:Tetrandine"	"Clardribine:Cytochalasin.D"	"Clardribine:Dexamethasone"	"Clardribine:Etoposide"	"Clardribine:FCCP"	"Clardribine:Fenbendazole"	"Clardribine:LY2109701"	"Clardribine:LatrunculinB"	"Clardribine:Mebendazole"	"Clardribine:Nicolsamide"	"Clardribine:Nicotinamide"	"Clardribine:Rotenone"	"Clardribine:Staurosporine"	"Clardribine:TC-S7004"	"Clardribine:Tetrandine"	"Cytochalasin.D:Dexamethasone"	"Cytochalasin.D:Etoposide"	"Cytochalasin.D:FCCP"	"Cytochalasin.D:Fenbendazole"	"Cytochalasin.D:LY2109701"	"Cytochalasin.D:LatrunculinB"	"Cytochalasin.D:Mebendazole"	"Cytochalasin.D:Nicolsamide"	"Cytochalasin.D:Nicotinamide"	"Cytochalasin.D:Rotenone"	"Cytochalasin.D:Staurosporine"	"Cytochalasin.D:TC-S7004"	"Cytochalasin.D:Tetrandine"	"Dexamethasone:Etoposide"	"Dexamethasone:FCCP"	"Dexamethasone:Fenbendazole"	"Dexamethasone:LY2109701"	"Dexamethasone:LatrunculinB"	"Dexamethasone:Mebendazole"	"Dexamethasone:Nicolsamide"	"Dexamethasone:Nicotinamide"	"Dexamethasone:Rotenone"	"Dexamethasone:Staurosporine"	"Dexamethasone:TC-S7004"	"Dexamethasone:Tetrandine"	"Etoposide:FCCP"	"Etoposide:Fenbendazole"	"Etoposide:LY2109701"	"Etoposide:LatrunculinB"	"Etoposide:Mebendazole"	"Etoposide:Nicolsamide"	"Etoposide:Nicotinamide"	"Etoposide:Rotenone"	"Etoposide:Staurosporine"	"Etoposide:TC-S7004"	"Etoposide:Tetrandine"	"FCCP:Fenbendazole"	"FCCP:LY2109701"	"FCCP:LatrunculinB"	"FCCP:Mebendazole"	"FCCP:Nicolsamide"	"FCCP:Nicotinamide"	"FCCP:Rotenone"	"FCCP:Staurosporine"	"FCCP:TC-S7004"	"FCCP:Tetrandine"	"Fenbendazole:LY2109701"	"Fenbendazole:LatrunculinB"	"Fenbendazole:Mebendazole"	"Fenbendazole:Nicolsamide"	"Fenbendazole:Nicotinamide"	"Fenbendazole:Rotenone"	"Fenbendazole:Staurosporine"	"Fenbendazole:TC-S7004"	"Fenbendazole:Tetrandine"	"LY2109701:LatrunculinB"	"LY2109701:Mebendazole"	"LY2109701:Nicolsamide"	"LY2109701:Nicotinamide"	"LY2109701:Rotenone"	"LY2109701:Staurosporine"	"LY2109701:TC-S7004"	"LY2109701:Tetrandine"	"LatrunculinB:Mebendazole"	"LatrunculinB:Nicolsamide"	"LatrunculinB:Nicotinamide"	"LatrunculinB:Rotenone"	"LatrunculinB:Staurosporine"	"LatrunculinB:TC-S7004"	"LatrunculinB:Tetrandine"	"Mebendazole:Nicolsamide"	"Mebendazole:Nicotinamide"	"Mebendazole:Rotenone"	"Mebendazole:Staurosporine"	"Mebendazole:TC-S7004"	"Mebendazole:Tetrandine"	"Nicolsamide:Nicotinamide"	"Nicolsamide:Rotenone"	"Nicolsamide:Staurosporine"	"Nicolsamide:TC-S7004"	"Nicolsamide:Tetrandine"	"Nicotinamide:Rotenone"	"Nicotinamide:Staurosporine"	"Nicotinamide:TC-S7004"	"Nicotinamide:Tetrandine"	"Rotenone:Staurosporine"	"Rotenone:TC-S7004"	"Rotenone:Tetrandine"	"Staurosporine:TC-S7004"	"Staurosporine:Tetrandine"	"TC-S7004:Tetrandine"
"ValidObjectCount"	-0.660573796367532	1.77179164991139	1.67250389172551	0.438765871081293	1.78022671110589	-0.514798604885692	-0.29233194171545	2.50269193117846	0.138860905273415	-0.199050253547979	-1.18969524978989	2.47363276771801	0.310559813854943	-1.04465000516427	-0.0916478755952336	0.883167231299808	-0.556605415343251	-0.696568240528304	0.719420117347437	-1.00078553750262	-2.29067346767286	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.13830168783235	0	0	0	1.30442631116853	0	0	0	0	0	-3.27750607078677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.90597825057198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.61969333077472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36915124537381	0	0	0	0	0	0	0	0	0	0	-1.80295318152686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34145479134167	0	0	0	0	0	0	0	0	0	0	0	0	-0.389147584634942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ObjectTotalAreaCh1"	-0.897915964608574	0.454268182168527	0.429449857270371	-0.202604638892279	0.975310854085153	-0.321843478120174	-0.669631994466768	1.90020153083342	0.250831244078674	-0.960624605295721	-1.37209148466983	1.75895134090235	0.171110438310106	-1.30239440929042	-0.927165226789594	-0.193743417931769	-1.29608207838528	-1.00349676945896	-0.0747408895633828	-1.27646485031666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.544890534233376	0	0	0	0	0	0	0	0	-2.27997052102305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.21432030192231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675715659628078	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.63912576903296	0	0	0	0	0	0	0	0	0	0	0	0	-0.654442479883543	0	0	0	0	1.5715795528775	0	0	0	0	0	0	0	0	0	0	-1.95477257801497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.27644379744476	0	0	0	0	-0.345266583355866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04539598797983	0	0	0
"ObjectAvgAreaCh1"	2.42155107365222	-0.382985381762152	-0.767977612487385	-0.491041317903655	-0.740120705597535	0.203151282371698	-0.217021053928142	-0.147834255081336	1.00779272956703	-1.22582360030017	0.722541372871584	-0.401733319150183	1.4428758985918	0.985356601754939	-1.92060114935893	-0.0213979162303666	-0.228042828974739	1.32851147909575	0.0476374195743256	-0.902235032507706	0	0	0	0	-3.82942378427797	0	0	0	0	-1.58394290774291	0	0	0	0	0	0	0	0	-1.37443036096576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.55042386011647	0	0	0	0	0.263749637561561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25907829405044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.887331582024648	0	0	0	0	0	0	0	-0.833789066200742	0	0	0.980693347267596	0	0	0	0	0	0	0	0	0	0.833911650901003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ObjectTotalIntenCh1"	-1.06272237149683	0.144434553147221	0.0454288317321798	-0.367493974551015	0.402954633363331	-1.01390681843615	-0.664095586030732	0.856658073103095	-0.132031394786898	-1.09254357332237	-1.42100064298842	0.888377719301074	-0.141575739056166	-1.53309946151005	-0.949966689790664	-0.426243721359006	-1.39636826733889	-1.14370932240674	-0.166729697643993	-1.46513930489863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12370215350506	0	0	0	0	0	0	0	0	-1.49403417543204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.25040744695532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.613593895164699	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.54024424402742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99230545698354	0	0	0	0	0	0	0	0	0	0	-1.54606150719116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29438976296458	0	0	0	0	0	0	0	0	0	-0.443310020909112	0	0	0	0	-0.641899334391496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ObjectAvgIntenCh1"	0.27583315339683	-0.184564082096435	0.159331577977659	0.146111779175737	-0.213807947133852	-1.14863033257302	1.15297188363555	-0.129407198434142	-0.454927677945875	0.289216306761636	1.11533440994309	-0.229758697461446	0	1.28625252048798	0.513521145561354	0.553415139761395	1.54858172822388	-0.00600103254841491	-0.0621068973181909	0.537000152567051	0	0	0	0	0.430523039659867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.626389241202934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.711544946808234	0	0	0	-0.164862494636069	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54803205754156	0	0	0	0	0	0	0	0	0	0	0	0	0.598845415540398	0	0	0	0	0	0	0	0	0	0.461021819128416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.936736572719976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.37678429001659	0	0	0	0	0	0	0	0	0.39589147474784	0	0	0	0	0	-1.24888820297937	0	0	0
"ObjectTotalIntenPerObjectCh1"	0.968604429337652	-0.118208473774369	-0.595979327341334	-0.0157538065314065	-0.641748180131624	-1.02863979104096	0.91294904046996	-0.00246508501059313	-0.039460416838222	-0.351323019880779	1.45606559979529	-0.65532738590889	0.69195735441558	1.6041958219252	-0.662332057251442	0.277674182254212	1.28316384053553	0.533965379544288	0.125282298822958	-0.11547819310248	0	0.84411900572174	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.30720445401014	0	0	-0.135294078788844	0	0	0	0.433299463406064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.105524579475	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75941131810528	0	0	0	0	0	0	0	0	0	0	0	0.563661947544931	0	0	0	0	0	-0.266155666642811	0	0	-1.48458369762857	0	0	0	0	-0.389503211779377	0	0	0.803022944837281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.598063168184045	0	0	0	0	0	0	0	0	0
"MEAN_ObjectAreaCh1"	2.34633086226817	-0.358189112853276	-0.73803117931388	-0.473799589857826	-0.766115068719822	-0.0935207806096431	-0.246035530175725	-0.0986029082117889	1.08949824350132	-1.4884115364787	0.67013503392008	-0.427727682272471	1.41688153546951	0.808735835560056	-1.94659551248122	-0.000667900547699706	-0.386469339121426	1.30251711597347	0.12796681000335	-0.884181373993032	0	0	0	0	-3.64556077739819	0	0	0	0	-1.52949888174898	0	0	0	0	0	0	0	0	-1.30420961135984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.39344795056419	0	0	0	0	0.436856218945762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52166623022897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.781697613512857	0	0	1.00970782351518	0	0	0	0	0	0	0	0	0	1.08815929647336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SD_ObjectAreaCh1"	0.0502957289706499	-0.00216588880516147	-0.0631687440221653	0.183428544635538	0.00597620932267891	-0.0292646355227995	0.17827620208684	0.125374279439298	-0.0897131330988735	-0.111258648191571	0.349159170620556	0.0978151794118209	0.496333592520052	-0.0904649564669977	-0.146313614963396	0.0658903807101514	-0.0457083360237388	3.01663618983439	0.0117828637448033	-0.0824789166222672	0	0	-0.496542138856081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186964281432887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.292420150462139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.318210713856667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192052606271514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220785697234435	0	0	0	0
"SE_ObjectAreaCh1"	0.388940276189805	0.16467099406016	0.211233938563876	0.236517871716516	0.151441328257111	0.159264673375978	0.330204723330661	0.208747731656148	0.133235631310932	0.280872409614865	0.675789266212944	0.160901441200137	0.314917000062407	0.532368023654567	0.197607036077684	0.144861267396682	0.402844970166371	1.25600942177398	0.192807355059641	0.431583695970272	0	-0.206705437335808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.957620821491822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39550720291604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.560124928320508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.332343817173364	0	0	-0.180789106516793	0	0	0	0	-0.102190277589485	0	0	0.241608839974008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.261410616878334	0	0	0	0	0	0	0	0.536413679693912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137792429068177	0	0	0	0	0	0	0	0	0
"CV_ObjectAreaCh1"	-0.517915894344054	0.0396777390783397	-0.165782503548003	0.0793213516433898	-0.10998390364152	-0.275565930257539	0.131464736878835	0.119109898485967	-0.346139902011334	-0.112689675785002	0.16893655067167	0.0482121523159684	0.108384175750691	-0.520730228490468	0.0134871070510241	-0.231588036089771	-0.256163243183672	0.858867544687769	0.120071729564187	0.0124691600801336	0	-0.223611115956095	0	0	0	0	0	0	0	0	0	0	0	0	0	0.538851482452306	0	0.259085097522692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54573212740646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.841662503161468	0	0	0	0	-0.688473409067765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.745069267152159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
